"from"	"to"	"weight"
"Cre12.g540400"	"Cre12.g554350"	0.0259526174869304
"Cre16.g673250"	"Cre12.g492450"	0.0259430069564748
"Cre08.g383000"	"Cre01.g009575"	0.025940416575886
"Cre04.g228400"	"Cre04.g221150"	0.0259350426261466
"Cre03.g193400"	"Cre12.g495951"	0.0259002185620152
"Cre04.g226400"	"Cre12.g533600"	0.0258681691015242
"Cre15.g639350"	"Cre02.g115650"	0.0258145473240208
"Cre07.g353700"	"Cre16.g648000"	0.0257786011160033
"Cre02.g100100"	"Cre05.g234976"	0.025760185101393
"Cre03.g162701"	"Cre16.g695550"	0.0257494389570982
"Cre02.g087600"	"Cre17.g706550"	0.0257422472482499
"Cre03.g158550"	"Cre03.g197700"	0.0257387993375167
"Cre08.g383000"	"Cre11.g483450"	0.0257357584188287
"Cre17.g709800"	"Cre17.g730150"	0.0257087485949213
"Cre10.g430750"	"Cre10.g459650"	0.0256882374942912
"Cre01.g029450"	"Cre07.g330550"	0.0256763124498923
"Cre08.g361400"	"Cre12.g512500"	0.0256609580830976
"Cre05.g238250"	"Cre13.g568250"	0.0256413844669948
"Cre12.g540400"	"Cre01.g053750"	0.0256368824079421
"Cre03.g160700"	"Cre07.g319001"	0.0256178274738937
"Cre10.g436800"	"Cre12.g490800"	0.0255959471677774
"Cre08.g378450"	"Cre18.g748497"	0.0255894693379696
"Cre01.g009575"	"Cre06.g280500"	0.02554702045684
"Cre08.g383000"	"Cre03.g166650"	0.0255433864969744
"Cre05.g243000"	"Cre03.g188700"	0.0255346057903918
"Cre03.g149350"	"Cre12.g518100"	0.0255316242616909
"Cre17.g696750"	"Cre17.g721517"	0.0255049159329527
"Cre12.g522400"	"Cre05.g233350"	0.0255024083718549
"Cre01.g009575"	"Cre03.g177650"	0.0254899731577661
"Cre02.g118250"	"Cre03.g183250"	0.0254822769406696
"Cre06.g305200"	"Cre17.g718800"	0.0254781559265726
"Cre04.g228400"	"Cre09.g401812"	0.0254718360083886
"Cre03.g179000"	"Cre07.g347950"	0.0254661246711275
"Cre10.g436800"	"Cre16.g671700"	0.0254590595064526
"Cre03.g212641"	"Cre10.g457950"	0.0254435931481983
"Cre05.g238250"	"Cre16.g695450"	0.0254360365626597
"Cre04.g221900"	"Cre06.g281563"	0.0254338780154433
"Cre04.g231124"	"Cre10.g462250"	0.0254311391811588
"Cre02.g145550"	"Cre03.g149500"	0.0254219360402577
"Cre12.g541777"	"Cre12.g556750"	0.0254088343332042
"Cre02.g145550"	"Cre08.g384600"	0.0253983985298303
"Cre16.g667450"	"Cre11.g467546"	0.0253958829563157
"Cre03.g212977"	"Cre04.g221800"	0.0253575895056143
"Cre03.g162701"	"Cre12.g529450"	0.0253293997526009
"Cre04.g226400"	"Cre07.g340750"	0.0253231570811554
"Cre03.g172800"	"Cre07.g324750"	0.0253127556411346
"Cre03.g183350"	"Cre05.g236600"	0.0252987610690535
"Cre03.g149350"	"Cre09.g404700"	0.025298574489486
"Cre11.g467577"	"Cre16.g694750"	0.0252867939928849
"Cre02.g083750"	"Cre12.g516400"	0.0252664251510974
"Cre05.g243000"	"Cre17.g720450"	0.0252518311871609
"Cre03.g153050"	"Cre01.g033250"	0.0252515462099777
"Cre01.g008200"	"Cre16.g679350"	0.0252232437311907
"Cre01.g043550"	"Cre17.g737702"	0.0252231420710704
"Cre09.g401219"	"Cre08.g380650"	0.0252200641253424
"Cre08.g364450"	"Cre03.g163200"	0.0251912668999082
"Cre12.g522400"	"Cre12.g496550"	0.0251779624441105
"Cre08.g383000"	"Cre06.g278233"	0.0251177227109857
"Cre10.g455600"	"Cre03.g174650"	0.0251169636144748
"Cre03.g163200"	"Cre03.g194250"	0.0250920752780216
"Cre02.g144800"	"Cre09.g416100"	0.0250899481130442
"Cre05.g242600"	"Cre17.g729900"	0.0250805350476132
"Cre09.g389750"	"Cre04.g222350"	0.0250554489587365
"Cre12.g522400"	"Cre13.g605650"	0.025050514765992
"Cre03.g189000"	"Cre16.g687630"	0.0250296561047898
"Cre16.g679050"	"Cre43.g760597"	0.0250258758427078
"Cre05.g233551"	"Cre12.g483950"	0.0250211926503225
"Cre03.g197350"	"Cre06.g304150"	0.025012627480082
"Cre03.g149350"	"Cre12.g534050"	0.0250117582502155
"Cre16.g675700"	"Cre08.g382650"	0.0250068919767718
"Cre09.g411600"	"Cre09.g403450"	0.0250068624154331
"Cre02.g101300"	"Cre13.g573650"	0.0250031456757929
"Cre03.g189000"	"Cre03.g199650"	0.0249763223996197
"Cre09.g411600"	"Cre12.g545100"	0.02496593403666
"Cre16.g672300"	"Cre03.g202339"	0.0249634255835371
"Cre03.g189000"	"Cre12.g522750"	0.0249544638286494
